Aux Position (J=X5),Sys Position (J=X5),Aux Velocity (J=X5),Sys Velocity (J=X5),Aux Position (J=X0),Sys Position (J=X0),Aux Velocity (J=X0),Sys Velocity (J=X0),Target Position (J=X5),Target Position (J=X0),Change Position (J=X5),Change Position (J=X0),Original Change Position (J=X5),Original Change Position (J=X0),Pos Func Position (J=X5),Pos Func Position (J=X0)
237.0,116.0,435.0,250.0,-136.0,-257.0,435.0,250.0,-373.0,0.0,137.0,137.0,137.0,137.0,0.004032,0.004032
238.0,117.0,431.0,252.0,-135.0,-256.0,431.0,252.0,-373.0,0.0,136.0,136.0,136.0,136.0,0.004,0.004
239.0,118.0,427.0,254.0,-134.0,-255.0,427.0,254.0,-373.0,0.0,135.0,135.0,135.0,135.0,0.003968,0.003968
240.0,119.0,423.0,255.0,-133.0,-254.0,423.0,255.0,-373.0,0.0,134.0,134.0,134.0,134.0,0.003937,0.003937
241.0,120.0,419.0,256.0,-132.0,-253.0,419.0,256.0,-373.0,0.0,133.0,133.0,133.0,133.0,0.003922,0.003922
242.0,121.0,415.0,257.0,-131.0,-252.0,415.0,257.0,-373.0,0.0,132.0,132.0,132.0,132.0,0.003906,0.003906
243.0,122.0,411.0,258.0,-130.0,-251.0,411.0,258.0,-373.0,0.0,131.0,131.0,131.0,131.0,0.003891,0.003891
244.0,123.0,407.0,259.0,-129.0,-250.0,407.0,259.0,-373.0,0.0,130.0,130.0,130.0,130.0,0.003876,0.003876
245.0,124.0,403.0,260.0,-128.0,-249.0,403.0,260.0,-373.0,0.0,129.0,129.0,129.0,129.0,0.003861,0.003861
246.0,125.0,399.0,261.0,-127.0,-248.0,399.0,261.0,-373.0,0.0,128.0,128.0,128.0,128.0,0.003846,0.003846
247.0,126.0,395.0,262.0,-126.0,-247.0,395.0,262.0,-373.0,0.0,127.0,127.0,127.0,127.0,0.003831,0.003831
248.0,127.0,391.0,263.0,-125.0,-246.0,391.0,263.0,-373.0,0.0,126.0,126.0,126.0,126.0,0.003817,0.003817
249.0,128.0,388.0,264.0,-124.0,-245.0,388.0,264.0,-373.0,0.0,125.0,125.0,125.0,125.0,0.003802,0.003802
250.0,129.0,385.0,265.0,-123.0,-244.0,385.0,265.0,-373.0,0.0,124.0,124.0,124.0,124.0,0.003788,0.003788
251.0,130.0,382.0,266.0,-122.0,-243.0,382.0,266.0,-373.0,0.0,123.0,123.0,123.0,123.0,0.003774,0.003774
252.0,131.0,379.0,267.0,-121.0,-242.0,379.0,267.0,-373.0,0.0,122.0,122.0,122.0,122.0,0.003759,0.003759
